"","site","PFT","Lat","Lon","model","R2","RMSE","RPE"
"57","CZ-BK1","ENF","49.5021","18.5369","EC_LUE","0.666986936773719","3.4262895728967","-0.396993954563492"
"58","CZ-BK1","ENF","49.5021","18.5369","CHJ","0.57972305879702","3.06607689420413","0.252173793149543"
"59","CZ-BK1","ENF","49.5021","18.5369","C_Fix","0.555986725288424","4.63442334919521","0.0822839901175043"
"60","CZ-BK1","ENF","49.5021","18.5369","MODIS","0.428529413620067","3.52757553133928","-0.300628610926823"
"61","CZ-BK1","ENF","49.5021","18.5369","RF","0.83024307648069","1.59387176955572","0.00615417491737214"
"62","CZ-BK1","ENF","49.5021","18.5369","SVM","0.837226745526946","1.56297307739649","-0.01978417114785"
"63","CZ-BK1","ENF","49.5021","18.5369","BMA","0.777696097529331","1.82689652383848","0.00149968657163667"
"64","DE-Geb","CRO","51.0997","10.9146","VPM","0.705008445862004","2.96347011089006","-0.315693657649493"
"65","DE-Geb","CRO","51.0997","10.9146","GLO_PEM","0.667392960008753","2.99236477093066","-0.224241531122802"
"66","DE-Geb","CRO","51.0997","10.9146","EC_LUE","0.749075258606799","2.45971249995185","-0.0837424384959053"
"67","DE-Geb","CRO","51.0997","10.9146","CHJ","0.526881158885526","4.6521750082054","1.02115830807235"
"68","DE-Geb","CRO","51.0997","10.9146","C_Fix","0.612762576977621","3.97284795167311","0.46390474786191"
"69","DE-Geb","CRO","51.0997","10.9146","MODIS","0.541813841030774","3.6786268595596","-0.274038242419586"
"70","DE-Geb","CRO","51.0997","10.9146","RF","0.854567741763718","1.8605979949418","0.00442099212919873"
"71","DE-Geb","CRO","51.0997","10.9146","SVM","0.854396470820379","1.85801691784399","0.0103611637183745"
"72","DE-Geb","CRO","51.0997","10.9146","BMA","0.811772551024876","2.11446720848258","-0.000451567662450521"
"73","DE-Gri","GRA","50.95","13.5126","VPM","0.69304256334258","2.67725713618542","-0.0141116164214889"
"74","DE-Gri","GRA","50.95","13.5126","GLO_PEM","0.694168291056099","2.41658182507217","-0.115107222366873"
"75","DE-Gri","GRA","50.95","13.5126","EC_LUE","0.746877865423142","3.16454990140266","0.221839910651616"
"76","DE-Gri","GRA","50.95","13.5126","CHJ","0.626167951806017","6.39611343314008","1.16611958918499"
"77","DE-Gri","GRA","50.95","13.5126","C_Fix","0.636457189601906","5.76500782699385","0.652394693552265"
"78","DE-Gri","GRA","50.95","13.5126","MODIS","0.655855803988147","2.42256133419175","-0.103957078522549"
"79","DE-Gri","GRA","50.95","13.5126","RF","0.828379043458499","1.64883323177152","0.00587671582300874"
"80","DE-Gri","GRA","50.95","13.5126","SVM","0.843797656487291","1.57202341301292","0.00310302155819951"
"81","DE-Gri","GRA","50.95","13.5126","BMA","0.815148498109806","1.70976713723583","0.000939136733215689"
"82","DE-Hai","DBF","51.0792","10.4522","VPM","0.753972537394623","2.62529381661989","-0.155757988149036"
"83","DE-Hai","DBF","51.0792","10.4522","GLO_PEM","0.731328201401281","2.70398430935841","-0.111072623441295"
"84","DE-Hai","DBF","51.0792","10.4522","EC_LUE","0.652382413063455","3.19965310762195","-0.244833968664573"
"85","DE-Hai","DBF","51.0792","10.4522","CHJ","0.723498272162396","4.15024707928818","0.679810164632062"
"86","DE-Hai","DBF","51.0792","10.4522","C_Fix","0.698120269188839","3.9036425099983","0.229196139580535"
"87","DE-Hai","DBF","51.0792","10.4522","MODIS","0.699202438101025","3.43537268261559","-0.319231044832106"
"88","DE-Hai","DBF","51.0792","10.4522","RF","0.911115872085726","1.51280192752341","0.00384049687534161"
"89","DE-Hai","DBF","51.0792","10.4522","SVM","0.92066346547751","1.43033397395972","-0.0013177840083976"
"90","DE-Hai","DBF","51.0792","10.4522","BMA","0.847961648844322","1.97840568212363","-0.0003039503926015"
"91","DE-Kli","CRO","50.8931","13.5224","VPM","0.538008114956316","3.5428517007622","-0.485605153893099"
"92","DE-Kli","CRO","50.8931","13.5224","GLO_PEM","0.543680089962062","3.42215238682493","-0.424744356220005"
"93","DE-Kli","CRO","50.8931","13.5224","EC_LUE","0.603201687415671","2.94951575519321","-0.247667041657987"
"94","DE-Kli","CRO","50.8931","13.5224","CHJ","0.387365675006096","4.11173986082533","0.540319529166699"
"95","DE-Kli","CRO","50.8931","13.5224","C_Fix","0.510640130808611","3.69070238908913","0.128220908438172"
"96","DE-Kli","CRO","50.8931","13.5224","MODIS","0.531866724897401","3.39857778394527","-0.326573339089556"
"97","DE-Kli","CRO","50.8931","13.5224","RF","0.704005522344891","2.42761626296278","0.00234303567196176"
"98","DE-Kli","CRO","50.8931","13.5224","SVM","0.686133941945807","2.54807127862432","-0.116457393286005"
"99","DE-Kli","CRO","50.8931","13.5224","BMA","0.626581518674763","2.73749858932337","0.00543132039931425"
"100","DE-Tha","ENF","50.9626","13.5651","VPM","0.792474861407551","2.56570552664637","-0.0814320613740086"
"101","DE-Tha","ENF","50.9626","13.5651","GLO_PEM","0.805802230192137","2.36978290766892","-0.236593150272991"
"102","DE-Tha","ENF","50.9626","13.5651","EC_LUE","0.821083438152198","2.74790502809271","-0.351340964353955"
"103","DE-Tha","ENF","50.9626","13.5651","CHJ","0.698900591559709","7.24617473817001","1.10261778087089"
"104","DE-Tha","ENF","50.9626","13.5651","C_Fix","0.726517094783418","4.22525023047938","0.163263825693847"
"105","DE-Tha","ENF","50.9626","13.5651","MODIS","0.78167442669558","3.19152288577882","-0.393298115030479"
"106","DE-Tha","ENF","50.9626","13.5651","RF","0.906735460016705","1.35323523389005","0.00135805580256891"
